Episode 0: 1000 time steps, total rewards -97.00
Episode 1: 1000 time steps, total rewards -99.00
Episode 2: 1000 time steps, total rewards -100.00
Episode 3: 1000 time steps, total rewards -100.00
Episode 4: 1000 time steps, total rewards -100.00
Episode 5: 1000 time steps, total rewards -100.00
Episode 6: 1000 time steps, total rewards -97.00
Episode 7: 1000 time steps, total rewards -102.00
Episode 8: 1000 time steps, total rewards -94.00
Episode 9: 1000 time steps, total rewards -99.00
Episode 10: 1000 time steps, total rewards -99.00
Episode 11: 1000 time steps, total rewards -99.00
Episode 12: 1000 time steps, total rewards -100.00
Episode 13: 1000 time steps, total rewards -100.00
Episode 14: 1000 time steps, total rewards -97.00
Episode 15: 1000 time steps, total rewards -102.00
Episode 16: 1000 time steps, total rewards -100.00
Episode 17: 1000 time steps, total rewards -100.00
Episode 18: 1000 time steps, total rewards -94.00
Episode 19: 1000 time steps, total rewards -100.00
Episode 20: 1000 time steps, total rewards -94.00
Episode 21: 1000 time steps, total rewards -97.00
Episode 22: 1000 time steps, total rewards -102.00
Episode 23: 1000 time steps, total rewards -97.00
Episode 24: 1000 time steps, total rewards -100.00
Episode 25: 1000 time steps, total rewards -100.00
Episode 26: 1000 time steps, total rewards -100.00
Episode 27: 1000 time steps, total rewards -100.00
Episode 28: 1000 time steps, total rewards -100.00
Episode 29: 1000 time steps, total rewards -100.00
Episode 30: 1000 time steps, total rewards -104.00
Episode 31: 1000 time steps, total rewards -100.00
Episode 32: 1000 time steps, total rewards -100.00
Episode 33: 1000 time steps, total rewards -100.00
Episode 34: 1000 time steps, total rewards -99.00
Episode 35: 1000 time steps, total rewards -100.00
Episode 36: 1000 time steps, total rewards -97.00
Episode 37: 1000 time steps, total rewards -102.00
Episode 38: 1000 time steps, total rewards -100.00
Episode 39: 1000 time steps, total rewards -102.00
Episode 40: 1000 time steps, total rewards -100.00
Episode 41: 1000 time steps, total rewards -100.00
Episode 42: 1000 time steps, total rewards -97.00
Episode 43: 1000 time steps, total rewards -100.00
Episode 44: 1000 time steps, total rewards -100.00
Episode 45: 1000 time steps, total rewards -100.00
Episode 46: 1000 time steps, total rewards -100.00
Episode 47: 1000 time steps, total rewards -94.00
Episode 48: 1000 time steps, total rewards -99.00
Episode 49: 1000 time steps, total rewards -100.00
Episode 50: 1000 time steps, total rewards -97.00
Episode 51: 1000 time steps, total rewards -100.00
Episode 52: 1000 time steps, total rewards -104.00
Episode 53: 1000 time steps, total rewards -104.00
Episode 54: 1000 time steps, total rewards -100.00
Episode 55: 1000 time steps, total rewards -100.00
Episode 56: 1000 time steps, total rewards -96.00
Episode 57: 1000 time steps, total rewards -97.00
Episode 58: 1000 time steps, total rewards -100.00
Episode 59: 1000 time steps, total rewards -99.00
Episode 60: 1000 time steps, total rewards -97.00
Episode 61: 1000 time steps, total rewards -100.00
